ID,Year,M,D,H,1,2,sum,sump
0131-002,2011,1,6,19,787,897,1684,1720
0131-002,2011,1,6,20,590,669,1259,1684
0131-002,2011,1,6,21,513,593,1106,1259
0131-002,2011,1,6,22,463,518,981,1106
0131-002,2011,1,6,23,294,258,552,981
0131-002,2011,1,6,24,204,184,388,552
0131-002,2011,1,7,1,155,118,273,388
0131-002,2011,1,7,2,115,110,225,273
0131-002,2011,1,7,3,76,67,143,225
0131-002,2011,1,7,4,61,62,123,143
0131-002,2011,1,7,5,65,79,144,123
0131-002,2011,1,7,6,114,170,284,144
0131-002,2011,1,7,7,340,319,659,284
0131-002,2011,1,7,8,823,648,1471,659
0131-002,2011,1,7,9,927,927,1854,1471
0131-002,2011,1,7,10,717,719,1436,1854
0131-002,2011,1,7,11,741,705,1446,1436
0131-002,2011,1,7,12,738,716,1454,1446
0131-002,2011,1,7,13,714,731,1445,1454
0131-002,2011,1,7,14,809,846,1655,1445
0131-002,2011,1,7,15,869,882,1751,1655
0131-002,2011,1,7,16,897,921,1818,1751
0131-002,2011,1,7,17,860,877,1737,1818
0131-002,2011,1,7,18,903,1029,1932,1737
0131-002,2011,1,7,19,848,1023,1871,1932
0131-002,2011,1,7,20,694,742,1436,1871
0131-002,2011,1,7,21,569,648,1217,1436
0131-002,2011,1,7,22,543,597,1140,1217
0131-002,2011,1,7,23,378,303,681,1140
0131-002,2011,1,7,24,274,227,501,681
0131-002,2011,1,8,1,157,128,285,501
0131-002,2011,1,8,2,117,90,207,285
0131-002,2011,1,8,3,74,69,143,207
0131-002,2011,1,8,4,71,90,161,143
0131-002,2011,1,8,5,79,97,176,161
0131-002,2011,1,8,6,103,149,252,176
0131-002,2011,1,8,7,322,322,644,252
0131-002,2011,1,8,8,780,684,1464,644
0131-002,2011,1,8,9,825,827,1652,1464
0131-002,2011,1,8,10,709,788,1497,1652
0131-002,2011,1,8,11,664,712,1376,1497
0131-002,2011,1,8,12,690,701,1391,1376
0131-002,2011,1,8,13,603,631,1234,1391
0131-002,2011,1,8,14,626,738,1364,1234
0131-002,2011,1,8,15,934,1014,1948,1364
0131-002,2011,1,8,16,861,945,1806,1948
0131-002,2011,1,8,17,686,726,1412,1806
0131-002,2011,1,8,18,718,874,1592,1412
0131-002,2011,1,8,19,786,1024,1810,1592
0131-002,2011,1,8,20,544,626,1170,1810
0131-002,2011,1,8,21,469,561,1030,1170
0131-002,2011,1,8,22,409,405,814,1030
0131-002,2011,1,8,23,303,231,534,814
0131-002,2011,1,8,24,204,184,388,534
0131-002,2011,1,9,1,112,79,191,388
0131-002,2011,1,9,2,75,53,128,191
0131-002,2011,1,9,3,48,37,85,128
0131-002,2011,1,9,4,55,49,104,85
0131-002,2011,1,9,5,41,37,78,104
0131-002,2011,1,9,6,77,96,173,78
0131-002,2011,1,9,7,207,154,361,173
0131-002,2011,1,9,8,445,315,760,361
0131-002,2011,1,9,9,521,429,950,760
0131-002,2011,1,9,10,466,431,897,950
0131-002,2011,1,9,11,521,448,969,897
0131-002,2011,1,9,12,548,471,1019,969
0131-002,2011,1,9,13,524,427,951,1019
0131-002,2011,1,9,14,632,545,1177,951
0131-002,2011,1,9,15,647,600,1247,1177
0131-002,2011,1,9,16,668,579,1247,1247
0131-002,2011,1,9,17,626,516,1142,1247
0131-002,2011,1,9,18,691,721,1412,1142
0131-002,2011,1,9,19,701,715,1416,1412
0131-002,2011,1,9,20,546,546,1092,1416
0131-002,2011,1,9,21,450,427,877,1092
0131-002,2011,1,9,22,443,383,826,877
0131-002,2011,1,9,23,313,207,520,826
0131-002,2011,1,9,24,205,147,352,520
