ID,Year,M,D,H,1,2
0130-001,2011,01,07,04,134,131
0130-001,2011,01,07,05,152,142
0130-001,2011,01,07,06,238,230
0130-001,2011,01,07,07,551,600
0130-001,2011,01,07,08,1446,1526
0130-001,2011,01,07,09,1736,1739
0130-001,2011,01,07,10,1318,1383
0130-001,2011,01,07,11,1159,1369
0130-001,2011,01,07,12,1225,1367
0130-001,2011,01,07,13,1111,1131
0130-001,2011,01,07,14,1236,1123
0130-001,2011,01,07,15,1436,1245
0130-001,2011,01,07,16,1360,1394
0130-001,2011,01,07,17,1366,1311
0130-001,2011,01,07,18,1432,1242
0130-001,2011,01,07,19,1436,1585
0130-001,2011,01,07,20,1191,1245
0130-001,2011,01,07,21,972,1106
0130-001,2011,01,07,22,903,950
0130-001,2011,01,07,23,697,680
0130-001,2011,01,07,24,521,508
0130-001,2011,01,08,01,369,369
0130-001,2011,01,08,02,262,263
0130-001,2011,01,08,03,228,214
0130-001,2011,01,08,04,208,151
0130-001,2011,01,08,05,186,155
0130-001,2011,01,08,06,254,230
0130-001,2011,01,08,07,428,427
0130-001,2011,01,08,08,934,958
0130-001,2011,01,08,09,1244,1281
0130-001,2011,01,08,10,1376,1295
0130-001,2011,01,08,11,1263,1400
0130-001,2011,01,08,12,1225,1411
0130-001,2011,01,08,13,1346,1231
0130-001,2011,01,08,14,1392,1208
0130-001,2011,01,08,15,1461,1311
0130-001,2011,01,08,16,1459,1297
0130-001,2011,01,08,17,1520,1283
0130-001,2011,01,08,18,1460,1294
0130-001,2011,01,08,19,1286,1049
0130-001,2011,01,08,20,1048,836
0130-001,2011,01,08,21,855,779
0130-001,2011,01,08,22,702,681
0130-001,2011,01,08,23,576,562
0130-001,2011,01,08,24,349,540
0130-001,2011,01,09,01,277,617
0130-001,2011,01,09,02,198,283
0130-001,2011,01,09,03,162,166
0130-001,2011,01,09,04,122,154
0130-001,2011,01,09,05,112,131
0130-001,2011,01,09,06,125,144
0130-001,2011,01,09,07,214,230
0130-001,2011,01,09,08,345,438
0130-001,2011,01,09,09,518,651
0130-001,2011,01,09,10,599,601
0130-001,2011,01,09,11,782,769
0130-001,2011,01,09,12,854,625
0130-001,2011,01,09,13,967,828
0130-001,2011,01,09,14,1086,940
0130-001,2011,01,09,15,1147,1040
0130-001,2011,01,09,16,1334,1240
0130-001,2011,01,09,17,1288,1196
0130-001,2011,01,09,18,1201,1071
0130-001,2011,01,09,19,1048,1159
0130-001,2011,01,09,20,806,828
0130-001,2011,01,09,21,680,740
0130-001,2011,01,09,22,611,648
0130-001,2011,01,09,23,383,416
0130-001,2011,01,09,24,314,348
0130-001,2011,01,10,01,213,228
0130-001,2011,01,10,02,115,141
0130-001,2011,01,10,03,80,90
0130-001,2011,01,10,04,81,75
0130-001,2011,01,10,05,103,106
0130-001,2011,01,10,06,172,200
0130-001,2011,01,10,07,582,692
0130-001,2011,01,10,08,1371,1331
0130-001,2011,01,10,09,1581,1657
0130-001,2011,01,10,10,1246,1411
0130-001,2011,01,10,11,1133,1288
0130-001,2011,01,10,12,1196,1264
0130-001,2011,01,10,13,1043,1095
0130-001,2011,01,10,14,1376,1119
0130-001,2011,01,10,15,1453,1265
0130-001,2011,01,10,16,1515,1187
0130-001,2011,01,10,17,1303,1068
0130-001,2011,01,10,18,1378,1127
0130-001,2011,01,10,19,1540,1258
0130-001,2011,01,10,20,1078,999
0130-001,2011,01,10,21,939,995
0130-001,2011,01,10,22,796,934
0130-001,2011,01,10,23,518,629
0130-001,2011,01,10,24,357,439
0130-001,2011,01,11,01,248,250
0130-001,2011,01,11,02,149,164
0130-001,2011,01,11,03,145,125
0130-001,2011,01,11,04,110,113
0130-001,2011,01,11,05,116,138
0130-001,2011,01,11,06,171,207
0130-001,2011,01,11,07,471,606
0130-001,2011,01,11,08,1236,1346
0130-001,2011,01,11,09,1462,1633
0130-001,2011,01,11,10,1275,1447
0130-001,2011,01,11,11,1303,1410
0130-001,2011,01,11,12,1290,1276
0130-001,2011,01,11,13,1175,955
0130-001,2011,01,11,14,1334,1101
0130-001,2011,01,11,15,1417,1199
0130-001,2011,01,11,16,1454,1351
0130-001,2011,01,11,17,1371,1143
0130-001,2011,01,11,18,1397,1292
0130-001,2011,01,11,19,1398,1447
0130-001,2011,01,11,20,1024,954
0130-001,2011,01,11,21,937,791
0130-001,2011,01,11,22,937,788
0130-001,2011,01,11,23,612,573
0130-001,2011,01,11,24,354,370
0130-001,2011,01,12,01,195,248
0130-001,2011,01,12,02,123,146
0130-001,2011,01,12,03,106,117
